Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,Chrome 87.0.4280.88,,,2020-12-18 02:29:27,2020-12-18 02:35:25,5m - 58.571s,FAILED
,,,,,,,
Test Cases/Login_ValidUserNameInvalidPassword,Chrome 87.0.4280.88,,,2020-12-18 02:29:29,2020-12-18 02:29:38,9.778s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 02:29:29,2020-12-18 02:29:34,4.911s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:34,2020-12-18 02:29:35,1.042s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:35,2020-12-18 02:29:36,0.873s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""vOA0cDqQbrFcFaFUEJlNrQ=="")",Chrome 87.0.4280.88,,,2020-12-18 02:29:36,2020-12-18 02:29:37,0.583s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 02:29:37,2020-12-18 02:29:37,0.392s,PASSED
"click(findTestObject(""LoginPage/message_UseNameAndPasswordDoNotMatch""))",Chrome 87.0.4280.88,,,2020-12-18 02:29:37,2020-12-18 02:29:38,0.478s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 02:29:38,2020-12-18 02:29:38,0.773s,PASSED
,,,,,,,
Test Cases/Login_ValidUserNameValidPassword,Chrome 87.0.4280.88,,,2020-12-18 02:29:38,2020-12-18 02:29:57,18.791s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 02:29:39,2020-12-18 02:29:43,3.794s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:43,2020-12-18 02:29:44,0.979s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:44,2020-12-18 02:29:44,0.813s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 87.0.4280.88,,,2020-12-18 02:29:44,2020-12-18 02:29:45,0.453s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 02:29:45,2020-12-18 02:29:46,1.077s,PASSED
today = new java.util.Date(),Chrome 87.0.4280.88,,,2020-12-18 02:29:46,2020-12-18 02:29:46,0.011s,PASSED
"todaysDate = today.format(""ddMMMyyyy"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:46,2020-12-18 02:29:46,0.016s,PASSED
"nowTime = today.format(""HHmmss"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:46,2020-12-18 02:29:46,0.002s,PASSED
"takeFullPageScreenshot(""Screenshots/screenshotAfterLogin"" + todaysDate + ""_"" + nowTime + "".png"")",Chrome 87.0.4280.88,,,2020-12-18 02:29:46,2020-12-18 02:29:56,10.487s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 02:29:56,2020-12-18 02:29:57,0.768s,PASSED
,,,,,,,
Test Cases/PlaceOrder_DifferentZipCode,Chrome 87.0.4280.88,,,2020-12-18 02:29:57,2020-12-18 02:30:15,17.366s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 02:29:58,2020-12-18 02:30:02,3.778s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 02:30:02,2020-12-18 02:30:02,0.861s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 02:30:02,2020-12-18 02:30:03,0.800s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 87.0.4280.88,,,2020-12-18 02:30:03,2020-12-18 02:30:04,0.422s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:04,2020-12-18 02:30:04,0.687s,PASSED
"click(findTestObject(""ProductCatalogPage/button_AddToOrder_SauceabsBackpack""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:04,2020-12-18 02:30:05,0.556s,PASSED
"click(findTestObject(""ProductCatalogPage/link_GoToCart""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:05,2020-12-18 02:30:08,3.064s,PASSED
"click(findTestObject(""YourCartPage/button_CheckOut""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:08,2020-12-18 02:30:09,0.607s,PASSED
"setText(findTestObject(""YourInformationPage/input_FirstName""), firstName)",Chrome 87.0.4280.88,,,2020-12-18 02:30:09,2020-12-18 02:30:09,0.763s,PASSED
"setText(findTestObject(""YourInformationPage/input_LastName""), lastName)",Chrome 87.0.4280.88,,,2020-12-18 02:30:09,2020-12-18 02:30:10,0.650s,PASSED
"setText(findTestObject(""YourInformationPage/input_ZipCode""), zip)",Chrome 87.0.4280.88,,,2020-12-18 02:30:10,2020-12-18 02:30:11,0.627s,PASSED
"click(findTestObject(""YourInformationPage/button_Continue""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:11,2020-12-18 02:30:11,0.587s,PASSED
"paymentInfo = getText(findTestObject(""CheckoutPage/text_PaymentInfo""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:11,2020-12-18 02:30:12,0.470s,PASSED
"shippingInfo = getText(findTestObject(""CheckoutPage/text_ShippingInfo""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:12,2020-12-18 02:30:12,0.321s,PASSED
"itemTotal = getText(findTestObject(""CheckoutPage/text_ItemTotal""))",Chrome 87.0.4280.88,,,2020-12-18 02:30:12,2020-12-18 02:30:12,0.351s,PASSED
