Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,Chrome 87.0.4280.88,,,2020-12-18 01:30:52,2020-12-18 01:33:05,2m - 13.110s,PASSED
,,,,,,,
Test Cases/Login_ValidUserNameInvalidPassword,Chrome 87.0.4280.88,,,2020-12-18 01:30:54,2020-12-18 01:31:04,10.597s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 01:30:54,2020-12-18 01:30:59,4.911s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 01:30:59,2020-12-18 01:31:00,1.058s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:00,2020-12-18 01:31:01,0.876s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""vOA0cDqQbrFcFaFUEJlNrQ=="")",Chrome 87.0.4280.88,,,2020-12-18 01:31:01,2020-12-18 01:31:02,0.594s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:02,2020-12-18 01:31:02,0.557s,PASSED
"click(findTestObject(""LoginPage/message_UseNameAndPasswordDoNotMatch""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:02,2020-12-18 01:31:03,0.520s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 01:31:03,2020-12-18 01:31:04,1.429s,PASSED
,,,,,,,
Test Cases/Login_ValidUserNameValidPassword,Chrome 87.0.4280.88,,,2020-12-18 01:31:04,2020-12-18 01:31:23,18.382s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 01:31:05,2020-12-18 01:31:08,3.756s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:08,2020-12-18 01:31:10,1.009s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:10,2020-12-18 01:31:10,0.815s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 87.0.4280.88,,,2020-12-18 01:31:10,2020-12-18 01:31:11,0.456s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:11,2020-12-18 01:31:11,0.687s,PASSED
today = new java.util.Date(),Chrome 87.0.4280.88,,,2020-12-18 01:31:11,2020-12-18 01:31:11,0.022s,PASSED
"todaysDate = today.format(""ddMMMyyyy"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:11,2020-12-18 01:31:11,0.004s,PASSED
"nowTime = today.format(""HHmmss"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:11,2020-12-18 01:31:11,0.005s,PASSED
"takeFullPageScreenshot(""Screenshots/screenshotAfterLogin"" + todaysDate + ""_"" + nowTime + "".png"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:11,2020-12-18 01:31:22,10.423s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 01:31:22,2020-12-18 01:31:23,0.748s,PASSED
,,,,,,,
Test Cases/PlaceOrder_DifferentZipCode,Chrome 87.0.4280.88,,,2020-12-18 01:31:23,2020-12-18 01:31:40,17.499s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 01:31:23,2020-12-18 01:31:27,3.716s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:27,2020-12-18 01:31:28,0.910s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:28,2020-12-18 01:31:29,0.777s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 87.0.4280.88,,,2020-12-18 01:31:29,2020-12-18 01:31:29,0.428s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:29,2020-12-18 01:31:30,0.643s,PASSED
"click(findTestObject(""ProductCatalogPage/button_AddToOrder_SauceabsBackpack""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:30,2020-12-18 01:31:30,0.540s,PASSED
"click(findTestObject(""ProductCatalogPage/link_GoToCart""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:30,2020-12-18 01:31:33,3.114s,PASSED
"click(findTestObject(""YourCartPage/button_CheckOut""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:33,2020-12-18 01:31:34,0.629s,PASSED
"setText(findTestObject(""YourInformationPage/input_FirstName""), firstName)",Chrome 87.0.4280.88,,,2020-12-18 01:31:34,2020-12-18 01:31:35,0.777s,PASSED
"setText(findTestObject(""YourInformationPage/input_LastName""), lastName)",Chrome 87.0.4280.88,,,2020-12-18 01:31:35,2020-12-18 01:31:35,0.650s,PASSED
"setText(findTestObject(""YourInformationPage/input_ZipCode""), zip)",Chrome 87.0.4280.88,,,2020-12-18 01:31:35,2020-12-18 01:31:36,0.665s,PASSED
"click(findTestObject(""YourInformationPage/button_Continue""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:36,2020-12-18 01:31:37,0.498s,PASSED
"paymentInfo = getText(findTestObject(""CheckoutPage/text_PaymentInfo""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:37,2020-12-18 01:31:37,0.477s,PASSED
"shippingInfo = getText(findTestObject(""CheckoutPage/text_ShippingInfo""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:37,2020-12-18 01:31:37,0.359s,PASSED
"itemTotal = getText(findTestObject(""CheckoutPage/text_ItemTotal""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:37,2020-12-18 01:31:38,0.335s,PASSED
"tax = getText(findTestObject(""CheckoutPage/text_Tax""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:38,2020-12-18 01:31:38,0.347s,PASSED
"total = getText(findTestObject(""CheckoutPage/text_Total""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:38,2020-12-18 01:31:39,0.396s,PASSED
"click(findTestObject(""CheckoutPage/button_Finish""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:39,2020-12-18 01:31:39,0.497s,PASSED
"click(findTestObject(""FinishPage/text_ThankYouForYourOrder""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:39,2020-12-18 01:31:40,0.462s,PASSED
today = new java.util.Date(),Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.000s,PASSED
"todaysDate = today.format(""yyyMMMdd"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.000s,PASSED
"nowTime = today.format(""HH:mms:s"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.000s,PASSED
output = new java.io.File(output.txt),Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.001s,PASSED
output.createNewFile(),Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.001s,PASSED
"text = text + $testID;$firstName;$lastName;$zip;$paymentInfo;$shippingInfo;$itemTotal;$tax;$total;$todaysDate;$nowTime
",Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.019s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:40,0.763s,PASSED
,,,,,,,
Test Cases/PlaceOrder_DifferentZipCode,Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:57,16.783s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-18 01:31:40,2020-12-18 01:31:44,3.751s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:44,2020-12-18 01:31:45,0.923s,PASSED
"setText(findTestObject(""LoginPage/input_UserName""), ""standard_user"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:45,2020-12-18 01:31:46,0.804s,PASSED
"setEncryptedText(findTestObject(""LoginPage/input_Password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 87.0.4280.88,,,2020-12-18 01:31:46,2020-12-18 01:31:46,0.430s,PASSED
"click(findTestObject(""LoginPage/button_Login""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:46,2020-12-18 01:31:47,0.643s,PASSED
"click(findTestObject(""ProductCatalogPage/button_AddToOrder_SauceabsBackpack""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:47,2020-12-18 01:31:47,0.521s,PASSED
"click(findTestObject(""ProductCatalogPage/link_GoToCart""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:47,2020-12-18 01:31:51,3.079s,PASSED
"click(findTestObject(""YourCartPage/button_CheckOut""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:51,2020-12-18 01:31:51,0.626s,PASSED
"setText(findTestObject(""YourInformationPage/input_FirstName""), firstName)",Chrome 87.0.4280.88,,,2020-12-18 01:31:51,2020-12-18 01:31:52,0.780s,PASSED
"setText(findTestObject(""YourInformationPage/input_LastName""), lastName)",Chrome 87.0.4280.88,,,2020-12-18 01:31:52,2020-12-18 01:31:53,0.645s,PASSED
"setText(findTestObject(""YourInformationPage/input_ZipCode""), zip)",Chrome 87.0.4280.88,,,2020-12-18 01:31:53,2020-12-18 01:31:53,0.655s,PASSED
"click(findTestObject(""YourInformationPage/button_Continue""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:53,2020-12-18 01:31:54,0.524s,PASSED
"paymentInfo = getText(findTestObject(""CheckoutPage/text_PaymentInfo""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:54,2020-12-18 01:31:54,0.433s,PASSED
"shippingInfo = getText(findTestObject(""CheckoutPage/text_ShippingInfo""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:54,2020-12-18 01:31:55,0.315s,PASSED
"itemTotal = getText(findTestObject(""CheckoutPage/text_ItemTotal""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:55,2020-12-18 01:31:55,0.324s,PASSED
"tax = getText(findTestObject(""CheckoutPage/text_Tax""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:55,2020-12-18 01:31:55,0.325s,PASSED
"total = getText(findTestObject(""CheckoutPage/text_Total""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:55,2020-12-18 01:31:55,0.318s,PASSED
"click(findTestObject(""CheckoutPage/button_Finish""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:55,2020-12-18 01:31:56,0.465s,PASSED
"click(findTestObject(""FinishPage/text_ThankYouForYourOrder""))",Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.454s,PASSED
today = new java.util.Date(),Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.000s,PASSED
"todaysDate = today.format(""yyyMMMdd"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.001s,PASSED
"nowTime = today.format(""HH:mms:s"")",Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.000s,PASSED
output = new java.io.File(output.txt),Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.001s,PASSED
output.createNewFile(),Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.000s,PASSED
"text = text + $testID;$firstName;$lastName;$zip;$paymentInfo;$shippingInfo;$itemTotal;$tax;$total;$todaysDate;$nowTime
",Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:56,0.001s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-18 01:31:56,2020-12-18 01:31:57,0.740s,PASSED
,,,,,,,
